28 31

 0002 000B 000B 000B 000B 000B 000B 000B 000B 000B 000B 000B 000B 0024 0023 000B 000B 000B 000B 000B 000B 000B 000B 000B 000B 000B 000B 0001
 0004 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 0003
 0004 -200 0014 000D 000D 0013 -200 0014 000D 000D 000D 0013 -200 0016 0015 -200 0014 000D 000D 000D 0013 -200 0014 000D 000D 0013 -200 0003
 0004 -400 0016 0000 0000 0015 -200 0016 0000 0000 0000 0015 -200 0016 0015 -200 0016 0000 0000 0000 0015 -200 0016 0000 0000 0015 -400 0003
 0004 -200 0018 0012 0012 0017 -200 0018 0012 0012 0012 0017 -200 0018 0017 -200 0018 0012 0012 0012 0017 -200 0018 0012 0012 0017 -200 0003
 0004 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 0003
 0004 -200 0014 000D 000D 0013 -200 0014 0013 -200 0014 000D 000D 000D 000D 000D 000D 0013 -200 0014 0013 -200 0014 000D 000D 0013 -200 0003
 0004 -200 0018 0012 0012 0017 -200 0016 0015 -200 0018 0012 0012 0013 0014 0012 0012 0017 -200 0016 0015 -200 0018 0012 0012 0017 -200 0003
 0004 -200 -200 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 -200 -200 0003
 0006 000C 000C 000C 000C 0013 -200 0016 0021 000D 000D 0013 0000 0016 0015 0000 0014 000D 000D 0022 0015 -200 0014 000C 000C 000C 000C 0005
 0000 0000 0000 0000 0000 0004 -200 0016 001F 0012 0012 0017 0000 0018 0017 0000 0018 0012 0012 0020 0015 -200 0003 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000 0004 -200 0016 0015 0000 0000 0000 0000 0000 -002 0000 0000 0000 0000 0016 0015 -200 0003 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000 0004 -200 0016 0015 0000 001A 000C 000C 0027 0027 000C 000C 0019 0000 0016 0015 -200 0003 0000 0000 0000 0000 0000
 000B 000B 000B 000B 000B 0017 -200 0018 0017 0000 0003 0028 0028 0028 0028 0028 0028 0004 0000 0018 0017 -200 0018 000B 000B 000B 000B 000B
 -A00 -A00 -A00 -A00 -A00 -A00 -200 0000 0000 0000 0003 0028 -008 0000 -004 -010 0028 0004 0000 0000 0000 -200 -A00 -A00 -A00 -A00 -A00 -A00
 000C 000C 000C 000C 000C 0013 -200 0014 0013 0000 0003 0028 0028 0028 0028 0028 0028 0004 0000 0014 0013 -200 0014 000C 000C 000C 000C 000C
 0000 0000 0000 0000 0000 0004 -200 0016 0015 0000 001C 000B 000B 000B 000B 000B 000B 001B 0000 0016 0015 -200 0003 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000 0004 -200 0016 0015 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0016 0015 -200 0003 0000 0000 0000 0000 0000
 0000 0000 0000 0000 0000 0004 -200 0016 0015 0000 0014 000D 000D 000D 000D 000D 000D 0013 0000 0016 0015 -200 0003 0000 0000 0000 0000 0000
 0002 000B 000B 000B 000B 0017 -200 0018 0017 0000 0018 0012 0012 0013 0014 0012 0012 0017 0000 0018 0017 -200 0018 000B 000B 000B 000B 0001
 0004 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 0003
 0004 -200 0014 000D 000D 0013 -200 0014 000D 000D 000D 0013 -200 0016 0015 -200 0014 000D 000D 000D 0013 -200 0014 000D 000D 0013 -200 0003
 0004 -200 0018 0012 0020 0015 -200 0018 0012 0012 0012 0017 -200 0018 0017 -200 0018 0012 0012 0012 0017 -200 0016 001F 0012 0017 -200 0003
 0004 -400 -200 -200 0016 0015 -200 -200 -200 -200 -200 -200 -200 0000 -001 -200 -200 -200 -200 -200 -200 -200 0016 0015 -200 -200 -400 0003
 0008 000D 0013 -200 0016 0015 -200 0014 0013 -200 0014 000D 000D 000D 000D 000D 000D 0013 -200 0014 0013 -200 0016 0015 -200 0014 000D 0007
 000A 0012 0017 -200 0018 0017 -200 0016 0015 -200 0018 0012 0012 0013 0014 0012 0012 0017 -200 0016 0015 -200 0018 0017 -200 0018 0012 0009
 0004 -200 -200 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 0016 0015 -200 -200 -200 -200 -200 -200 0003
 0004 -200 0014 000D 000D 000D 000D 0022 0021 000D 000D 0013 -200 0016 0015 -200 0014 000D 000D 0022 0021 000D 000D 000D 000D 0013 -200 0003
 0004 -200 0018 0012 0012 0012 0012 0012 0012 0012 0012 0017 -200 0018 0017 -200 0018 0012 0012 0012 0012 0012 0012 0012 0012 0017 -200 0003
 0004 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 -200 0003
 0006 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 000C 0005
